feed,weight,,,,,,,,,
horsebean,179,,Food Type,Min Weight,Mean Weight,Max Weight,,,Food Type,Sum Weight
horsebean,160,,Casein,216,323.5833333,404,,,Casein,3883
horsebean,136,,Horsebean,108,160.2,227,,,Horsebean,1602
horsebean,227,,Linseed,141,218.75,309,,,Linseed,2625
horsebean,217,,Meatmeal,153,276.9090909,380,,,Meatmeal,3046
horsebean,168,,Soybean,158,246.4285714,329,,,Soybean,3450
horsebean,108,,Sunflower,226,328.9166667,423,,,Sunflower,3947
horsebean,124,,,,,,,,,
horsebean,143,,,,,,,,,
horsebean,140,,,,,,,,,
linseed,309,,,,,,,,,
linseed,229,,,,,,,,,
linseed,181,,,,,,,,,
linseed,141,,,,,,,,,
linseed,260,,,,,,,,,
linseed,203,,,,,,,,,
linseed,148,,,,,,,,,
linseed,169,,,,,,,,,
linseed,213,,,,,,,,,
linseed,257,,,,,,,,,
linseed,244,,,,,,,,,
linseed,271,,,,,,,,,
soybean,243,,,,,,,,,
soybean,230,,,,,,,,,
soybean,248,,,,,,,,,
soybean,327,,,,,,,,,
soybean,329,,,,,,,,,
soybean,250,,,,,,,,,
soybean,193,,,,,,,,,
soybean,271,,,,,,,,,
soybean,316,,,,,,,,,
soybean,267,,,,,,,,,
soybean,199,,,,,,,,,
soybean,171,,,,,,,,,
soybean,158,,,,,,,,,
soybean,248,,"Based on the chicken feed data, which type of chicken food appears the most beneﬁcial for a thriving poultry business? Explain your answer.",,,,,,,
sunflower,423,,"Based on the chicken feed data, Sunflower appears to be the most beneficial for a thriving poultry business. ",,,,,,,
sunflower,340,,"It has the highest min, mean, max, and sum weights. ",,,,,,,
sunflower,392,,"This means that the chickens have the largest amount of weight when fed sunflower feed, so sunflower feed is the most beneficial for a poultry business.",,,,,,,
sunflower,339,,,,,,,,,
sunflower,341,,,,,,,,,
sunflower,226,,,,,,,,,
sunflower,320,,,,,,,,,
sunflower,295,,,,,,,,,
sunflower,334,,,,,,,,,
sunflower,322,,,,,,,,,
sunflower,297,,,,,,,,,
sunflower,318,,,,,,,,,
meatmeal,325,,,,,,,,,
meatmeal,257,,,,,,,,,
meatmeal,303,,,,,,,,,
meatmeal,315,,,,,,,,,
meatmeal,380,,,,,,,,,
meatmeal,153,,,,,,,,,
meatmeal,263,,,,,,,,,
meatmeal,242,,,,,,,,,
meatmeal,206,,,,,,,,,
meatmeal,344,,,,,,,,,
meatmeal,258,,,,,,,,,
casein,368,,,,,,,,,
casein,390,,,,,,,,,
casein,379,,,,,,,,,
casein,260,,,,,,,,,
casein,404,,,,,,,,,
casein,318,,,,,,,,,
casein,352,,,,,,,,,
casein,359,,,,,,,,,
casein,216,,,,,,,,,
casein,222,,,,,,,,,
casein,283,,,,,,,,,
casein,332,,,,,,,,,
